Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"M2.5x12mm Screws","Hold the Case Together",100,4.29,"https://www.aliexpress.com/item/1005006149650871.html?spm=a2g0o.productlist.main.7.351a5435pfKSzT&algo_pvid=73726b03-3458-4531-a617-164769dc475a&algo_exp_id=73726b03-3458-4531-a617-164769dc475a-6&pdp_ext_f=%7B%22order%22%3A%22815%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.29%214.29%21%21%2120.05%2120.05%21%4021033d9d17748774623062062ebf6b%2112000035985037198%21sea%21AU%216079532204%21X%211%210%21n_tag%3A-29919%3Bd%3A8c80d33f%3Bm03_new_user%3A-29895&curPageLogUid=wg6dSTH9tu8G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006149650871%7C_p_origin_prod%3A","Aliexpress"
"PCBA","Printed Circuit Board",2,53.90,"https://cart.jlcpcb.com/shopcart/cart","JLCPCB"
"3x4mm SMD tactile switch","BOOT and RESET",100,3.04,"https://www.aliexpress.com/item/1005005551946922.html?spm=a2g0o.cart.0.0.6cea38daTwsp4M&mp=1&pdp_npi=6%40dis%21AUD%21AUD%204.43%21AUD%204.43%21%21AUD%204.34%21%21%21%402103274e17748741857928605e241d%2112000033511703865%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
"Hotswap Sockets","For the switches to go into.",110,6.78,"https://www.aliexpress.com/item/1005007232040760.html?spm=a2g0o.cart.0.0.691238daXmoF8z&mp=1&pdp_npi=6%40dis%21AUD%21AUD%2021.04%21AUD%209.89%21%21AUD%209.79%21%21%21%402101d6ff17748726457652554ef3f5%2112000039893759777%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
"Rotary Encoder","Volume Control",2,2.33,"https://www.aliexpress.com/item/1005009360298765.html?spm=a2g0o.cart.0.0.691238daXmoF8z&mp=1&pdp_npi=6%40dis%21AUD%21AUD%207.09%21AUD%203.40%21%21AUD%203.37%21%21%21%402101d6ff17748726457652554ef3f5%2112000049239221996%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
"Mechanical Switches","Register Keystrokes",90,11.10,"https://www.aliexpress.com/item/1005010733013518.html?spm=a2g0o.cart.0.0.691238daXmoF8z&mp=1&pdp_npi=6%40dis%21AUD%21AUD%205.39%21AUD%205.39%21%21AUD%205.39%21%21%21%402101d6ff17748726457652554ef3f5%2112000053347971169%21ct%21AU%216079532204%21%213%210%21","Aliexpress"
"Keycap Set","To press on",1,12.61,"https://www.aliexpress.com/item/1005009316481772.html?spm=a2g0o.cart.0.0.691238daXmoF8z&mp=1&pdp_npi=6%40dis%21AUD%21AUD%2018.39%21AUD%2018.39%21%21AUD%2018.39%21%21%21%402101d6ff17748723426904626ef3f5%2112000048726412320%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
"Stabilizers","Prevent Wobbling",1,2.60,"https://www.aliexpress.com/item/1005007212869086.html?spm=a2g0o.cart.0.0.691238daXmoF8z&mp=1&pdp_npi=6%40dis%21AUD%21AUD%203.79%21AUD%203.79%21%21AUD%203.79%21%21%21%402101d6ff17748723426904626ef3f5%2112000039826435204%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
"1N5819 Diode (SMD)","Diodes for Matrix",100,2.03,"https://www.aliexpress.com/item/1005010391501956.html?mp=1&pdp_npi=6%40dis%21AUD%21AUD%202.96%21AUD%202.96%21%21AUD%202.87%21%21%21%402101d6ff17748723426904626ef3f5%2112000052256220506%21ct%21AU%216079532204%21%211%210%21","Aliexpress"
